Document ID,Question,Label
Doc-100,apakah saya sudah diperbolehkan hamil lagi,Information
Doc-100,berapa kali maksimal boleh melahirkan secara caesar,Information
Doc-101,akan tetapi kenapa ya timbul urat urat menyembul di seputar tangan dan betis,Cause
Doc-101,apa saya harus mengurangi frekuensi olahraga saya selama ini,Management
Doc-104,mohon informasinya dokter apakah yang terjadi,Diagnosis
Doc-104,apakah saya harus memeriksakan hidung saya sinus telinga atau kepala,PersonORG
Doc-105,apakah itu ciri ciri kanker otak,Manifestation
Doc-106,apakah efek samping dan apa yang akan terjadi dengan anak tersebut,Complication
Doc-106,apakah anak tersebut bisa lekas sembuh dan normal kembali,Prognosis
Doc-107,itu kenapa ya dok,Cause
Doc-108,apakah gejala hamil atau kah tumor,Diagnosis
Doc-109,kalau umur segitu apa gejala awal sebenarnya dok,Manifestation
Doc-109,apa benar y dok itu adalah gejala infeksi lambung,Manifestation
Doc-111,sebetulnya saya sakit apa ya dok,Diagnosis
Doc-111,apa obatnya,Management
Doc-111,makanan apa yang harus dimakan dan hatus dipantang,Management
Doc-113,apakah penyebabnya,Cause
Doc-113,kira kira penyakit apa itu dok,Diagnosis
Doc-113,apakah berbahaya,Prognosis
Doc-114,apakah gejala yang saya alami ini sudah bisa dikatakan vertigo,Diagnosis
Doc-114,apakah ada kaitannya antara darah kental dengan vertigo,Information
Doc-114,apakah sudah benar dengan obat yang saya mnm betaserc dan flunarizine,Management
Doc-114,tetapi kenapa masih terasa sama ya dok,Prognosis
Doc-114,sebaiknya saya periksa kedokter apa ya dok,PersonORG
Doc-115,apakah hepatitis yang diderita teman saya belum sembuh,Diagnosis
Doc-115,bisakah hepatitis sembuh total dok,Prognosis
Doc-115,apakah perlu teman saya memeriksakan kembali setelah 4 thn ini,Prognosis
Doc-116,apa kah yang saya alami ini gejala awal gonore dok,Diagnosis
Doc-117,tumor apa dok,Diagnosis
Doc-119,sebenarnya apa yang terjadi dengan saya,Diagnosis
Doc-119,apakah saya memang mengidap adhd atau saya mengalami perkembangan mental yang buruk,Diagnosis
Doc-119,apa yang harus saya lakukan,Management
Doc-12,apakah bisa menular dokter,Susceptibility
Doc-121,apakah bisa di obati,Management
Doc-123,apakah sulit berjalan itu hanya efek smentara atau efek yang berkelanjutan karena darah tinggi,Complication
Doc-123,bagaimana cara mengatasi penyakit tersebut,Management
Doc-125,apa penyebabnya virus tersebut berkembang sangat lambat,Information
Doc-125,apabila saya menikah dalam waktu dekat apakah diperbolehkan,Information
Doc-125,harus menunggu sampai virus tersebut hasilnya negatif,Information
Doc-126,apakah karena pengaruh dbd yang belum sembuh atau memang karena pengaruh gula dan tekanan darah yang tinggi,Complication
Doc-126,apakah ada alternatif obat lain untuk gula darah selain suntik insulin,Management
Doc-126,makanan yang disarankan untuk menurunkan dan menstabilkan gula darah,Management
Doc-126,kapan sebaiknya ayah saya bisa melakukan olah raga,Management
Doc-126,makanan apa yang disarankan untuk mempercepat pemulihan gula darah dan tekanan darahnya,Management
Doc-126,apakah bisa selama masa penyembuhan ini mengkonsumsi beras merah,Management
Doc-126,apakah masih aman jika ayah saya masih mengkonsumsi nasi,Management
Doc-126,apakah ayah saya bisa pulih berat badannya dok,Prognosis
Doc-128,apakah bisa mendapat kan imunisasi ulang di usia 12 tahun,Information
Doc-129,mengapa setiap pup selalu menangis dan mengeden sampai berkeringat dan pup nya itu 3 hari sekali,Cause
Doc-129,mengapa demikian yah dok,Cause
Doc-13,apakah itu wajar atau normal,Diagnosis
Doc-130,sebaikny diksh apa ya dok,Management
Doc-131,bagaimana dengan gejala klinis seperti sering buang air kecil kesemutan dan penurunan brt badan yang cukup drastis,Manifestation
Doc-131,kemudian yang dimaksud reaksi kimia yang menyebabkan kadar glukosa mjd tinggi apa,Information
Doc-132,apakah ada cara untuk tidak sakit saat haid,Management
Doc-132,apa bisa setelah nikah tidak nyeri lagi saat haid,Information
Doc-132,apa yang saya alami ini tidak wajar,Information
Doc-132,apakah sangat berbahaya,Prognosis
Doc-133,adakah ini menunjukkan simtom yang tidak baik atau suatu kebiasaan,Manifestation
Doc-133,adakah satu penyakit atau sebaliknya,Diagnosis
Doc-135,kenapa telapak tangan saya sudah 2 tahun ini keriput walaupun tidak basah,Cause
Doc-136,apakah onani dapat menyebabkan fournier gangren,Complication
Doc-136,merokok dapat menyebabkan fournier gangren,Complication
Doc-137,apakah itu sudah bisa di sebut varikokel atau tidak,Diagnosis
Doc-138,apakah gejala tersebut termasuk gejala hidrosefalus,Manifestation
Doc-138,apa yang harus saya lakukan,Management
Doc-140,apa 2 yang harus dilakukan agar tidak terjadi preterm dan abortus,Management
Doc-140,apakah saya bisa hamil normal sampai aterm dok,Prognosis
Doc-140,apa dilakukan untuk mencegah kontraksi 2 saat hamil dok,Management
Doc-142,apa sebabnya,Cause
Doc-142,apa obatnya,Management
Doc-143,apa penyebabnya dok,Cause
Doc-143,apa obatnya,Management
Doc-143,bahaya tidak,Complication
Doc-145,kenapa ya dada sebelah kiri saya sering nyeri,Cause
Doc-145,apa itu karena maag,Manifestation
Doc-147,fibromyalgia syndrome fms itu apa,Information
Doc-148,apakah penyembuhan harus dengan operasi dan tidak ada terapi lain,Management
Doc-148,apakah sama dengan hernia,Information
Doc-149,saya ini kenapa yaj dok,Diagnosis
Doc-150,apakah ini mang terjadi pada semua wanita yang hamil pertama,Information
Doc-150,obat apakah yang harus saya kasi minum,Management
Doc-153,saya kok sering kencing tak terhankan,Cause
Doc-153,bgaimana cara mengatasinya agar tidak terjadi lagi,Management
Doc-154,apakah whey protein merk isolatte itu berbahaya atau memiliki efek samping di kemudian hari,NotDisease
Doc-155,penyebab utama pertumbuhan fam apa,Cause
Doc-155,apa yang kira nya agar menghambat pertumbuhan fam,Management
Doc-156,apakah penyakit saya karena sering merasa nyeri bagian perut bawah kiri apa karena sering tahan bak,Cause
Doc-156,apa penyebabnya,Cause
Doc-156,apakah kanker serviks bisa diketahui dengan usg,Diagnosis
Doc-157,apakah saya harus berhenti sementara untuk minum susu,Information
Doc-157,bagaimanakah kondisi janin kalau tidak di beri susu,Information
Doc-159,obat apakah yang tepat untuk menghambat pertumbuhannya,Management
Doc-159,apakah perigyum dapat sembuh tanpa operasi dok,Prognosis
Doc-16,apakah kemungkinan saya harus operasi,Management
Doc-16,hanya dikasih obat semprot bisa sembuh,Management
Doc-162,apakah ini penyakit dok,Diagnosis
Doc-162,apakah ini memiliki dampak kedepanya,Complication
Doc-164,apa ini penyebab badan saya tidak seimbang lagi,Manifestation
Doc-164,apa betul bisa melintir,Information
Doc-164,apakah sugesti,OtherEffect
Doc-164,bagaimana solusinya,Management
Doc-164,adakah gerakan 2 untuk melatih menghilangkan ketidak seimbangan itu,Management
Doc-165,penyakit hepatitis b apakah bisa disembuhkan dok,Prognosis
Doc-166,apa kah anak saya anak terkena campak,Diagnosis
Doc-169,apakah berat badan anak saya termasuk kategori obesitas,Diagnosis
Doc-170,apakah saya berpotensi memiliki kepribadian ganda,Diagnosis
Doc-171,apakah saya harus mengganti susu pendampingnya,Management
Doc-171,susu apa yang kira 2 bisa drekomendasikan sesuai kebutuhan anak saya,Information
Doc-174,apa rasa pusing yang dirasakan hanya karena rasa khawatir berlebihan,Cause
Doc-175,itu kenapa ya dok,Cause
Doc-176,itu stadium berapa,Diagnosis
Doc-176,apa perlu dilakukan operasi,Management
Doc-177,apakah itu normal ya,Diagnosis
Doc-177,adakah hubungannya dengan penyakit jantung,Complication
Doc-178,itu kenapa ya dok,Cause
Doc-178,apakah karena kurang tidur atau ada gangguan kecemasan,Cause
Doc-179,apakah ini artinya saya ada penyakit jantung,Diagnosis
Doc-179,bagaimana cara saya memastikan apakah saya menderita penyakit jantung,Diagnosis
Doc-18,kira kira saya juga termaksud orang yang menderitah kanker,Diagnosis
Doc-18,penyebab gusi berdarah itu gimana dokter,Cause
Doc-18,apakah benar saya mengalami kedua penyakit tersebut,Diagnosis
Doc-180,apakah ini termasuk serangan jantung,Diagnosis
Doc-180,apakah saya perlu memeriksakan jantung kolesterol tekanan darah,Diagnosis
Doc-180,apa yang harus saya lakukan,Management
Doc-180,apakah gejala gejala ini bisa hilang dengan sendirinya,Prognosis
Doc-180,atau ada hal hal yang perlu diperhatikan,Information
Doc-180,apakah ada gejala gangguan jantung,Manifestation
Doc-180,apa saya perlu periksa ke dari jantung,PersonORG
Doc-181,apakah mungkin saya memiliki penyakit jantung,Diagnosis
Doc-182,kenapa jantung saya kok berdebar teru atau deg degan,Cause
Doc-183,apakah ada masalah dengan jantung saya,Diagnosis
Doc-183,apakah ini normal,Diagnosis
Doc-183,apakah hal tersebut tanda ada penyakit,Diagnosis
Doc-184,apakah gejala ini gejala lemah jantung,Diagnosis
Doc-185,apakah ciri ciri depresi itu dok,Manifestation
Doc-185,apakah saya kena depresi dok,Diagnosis
Doc-186,apakah saya punya gejala jantung,Diagnosis
Doc-186,apa penyebab nya,Cause
Doc-186,bagaimana caramengatasinya dokter,Management
Doc-186,mengapa jantung saya dek dekan,Diagnosis
Doc-187,apakah penyakit yang saya derita,Diagnosis
Doc-187,apakah ada pengaruh dari asam lambung yang naik,Cause
Doc-188,kira kira itu salah satu indikator jantung saya tidak normal apa sudah di pastikan jantung saya tidak sehat,Diagnosis
Doc-191,cara mengatasinya seperti apa biar cepat bicara,Management
Doc-191,apa anak saya terlambat bisa bicara,Diagnosis
Doc-191,sebetulnya umur berapa anak akan lancar berbicara,Information
Doc-192,kenapa anak 14 bulan belum bisa bicara,Cause
Doc-193,apakah normal dok,Diagnosis
Doc-193,adakah tips solusinya,Management
Doc-194,apa penyebabnya,Cause
Doc-195,pada usia berapa anak normalnya bisa bicara secara lancar,Information
Doc-197,apakah keponakan saya juga autis,Susceptibility
Doc-197,bagaimana melatih anak agar bisa segera berbicara,Management
Doc-198,apa penyebabnya,Cause
Doc-198,bagaimana cara mengatasinya,Management
Doc-20,apa pengaruh asam lambung ke jantung dokter,Complication
Doc-20,kira kira saya penyakit jantung tidak dokter,Diagnosis
Doc-201,berbahayakah kondisi ini,Complication
Doc-202,saya harus periksa ke spesialis apa,PersonORG
Doc-202,apa yang harus saya perbuat,Management
Doc-203,berbahayakah kondisi ini,Complication
Doc-204,apakah itu akan jadi berpengaruh pada aktivitas saya,Complication
Doc-205,kenapa kepala saya sering sakit dan penglihatan terasa kabur,Cause
Doc-205,apakah tidak berbahaya,Complication
Doc-206,sudah 2 bulan pipi saya kenapa ya kok masih tembem,Cause
Doc-206,itu cara normalin nya gimana ya dok,Management
Doc-206,saya minta saranya biar normal lagi dok,Management
Doc-207,kira kira apa tulang punggung saya akan bisa baik baik saja dok,Prognosis
Doc-208,apakah itu berbahaya dok,Complication
Doc-208,bagaimana solusi penanganannya,Management
Doc-208,apa penyebab rasa ngilu itu muncul,Cause
Doc-211,kira kira kenapa ya dok,Cause
Doc-211,berapa lama sembuh,Prognosis
Doc-212,kenapa setelah peeling seminggu pengelupasanya kok lebih dari seminggu terus muka saya jadi kasar merah muka saya jadi sensitif,Cause
Doc-212,kalau saya berhenti peeling apa ada efeknya,Information
Doc-212,kira kira wajah saya bisa normal lagi tidak dok,Prognosis
Doc-213,bolehkah remaja berumur 14 tahun memakai krim pemutih,Information
Doc-213,saya pengen ngilanginnya tetapi gimana,Management
Doc-213,pakai produk apa,Management
Doc-213,menurut dokter boleh tidak saya pakai face moisturizer di atas,Management
Doc-213,bahaya tidak dok pakai begituan,Complication
Doc-213,sebutin produk apa yang cocok buat saya,Management
Doc-213,bagaimana pola hidup yang sehat untuk menghilangkan noda bekas jerawat,Management
Doc-218,saya harus pakai produk apa untuk meredakan jerawat jerawat saya dan bekasnya,Management
Doc-218,apakah kulit wajah saya bisa tumbuh lagi,Prognosis
Doc-222,apakah benar ada dalam istilah medis jerawat alergi,Information
Doc-222,apa ada hubungannya jerawat dengan kadar kolesterol dalam darah,Susceptibility
Doc-222,bagaimana cara mengatasi jerawat dengan benar,Management
Doc-223,apakah kandungan di dalamnya aman untuk di pakai,Information
Doc-223,apakah produk produk tersebut ampuh untuk mengatasi masalah masalah kecantikan,Prognosis
Doc-224,itu baik tidak dok untuk kesehatan,Information
Doc-225,boleh tidak anak umur4 tahun an tiap hari makan mi instan,NotDisease
Doc-226,mengapa ada label informasi nilai gizi pada kemasan mi instan,NotDisease
Doc-226,apakah gizi berbahaya untuk tubuh,NotDisease
Doc-226,berapa lama tubuh dapat mengeluarkan kandungan berbahaya dari mi instan,NotDisease
Doc-227,makan mi instan berapa bulan sekali,NotDisease
Doc-228,apa yang punya penyakit maag lambung apa boleh makan mi instan,Information
Doc-23,mohon masukan dan sarannya apakah saya mesti ganti dokter anak,Information
Doc-23,mohon sarannya dokter anak yang bagus untuk lokasi xxxxx selatan dokter,PersonORG
Doc-230,apakah sendawa ini juga efek dari bumbu atau memang perut saya sudah tidak bisa mengekstrak bahan mie instan dengan baik,Cause
Doc-231,apa kah kalau saya makan mie instan akan mengganggu kehamilan saya,Susceptibility
Doc-232,apa ada dampakny pada kesehatan dalam jangka pendek jangka panjangny,Complication
Doc-233,sebenarnya bahaya tidak sih dok mie instan itu,Information
Doc-233,apa dampaknya untuk ponakan saya itu dok,Information
Doc-234,kandungan na yang tinggi tbs terdapat di mana,NotDisease
Doc-234,apakah di mie atau dibumbunya,NotDisease
Doc-235,boleh tidak sih makan mie instan atau mie mie lainnya selama 2 kali seminggu,Information
Doc-236,apakah itu berpengaruh buruk terhadap kehamilan saya,Susceptibility
Doc-236,apakah boleh saya makan mie instant sekali sekali,Information
Doc-236,apakah berbahaya,Complication
Doc-237,kira kira hal itu normal atau bagaiman dok,Diagnosis
Doc-238,kira kira kenapa ya dok,Diagnosis
Doc-239,kira kira apa,Diagnosis
Doc-239,kenapa,Diagnosis
Doc-24,apa pengaruhnya terhadap syaraf,Complication
Doc-24,adakah batasan usia sampai anak tersebut tidak mengalami kejang lagi,Prognosis
Doc-240,apa penyebab yang menyebabkan penyakit itu tidak kunjung hilang,Cause
Doc-240,bagaimana cara alami untuk menguranginya,Management
Doc-240,apakah tetes mata biasa dapat mengurangi iritasi mata yang disebabkan oleh hordoleum tersebut,Prognosis
Doc-242,kira kira kenapa ya dok,Diagnosis
Doc-242,apakah ada cara untuk menghilangkan gatelnya,Management
Doc-243,apakah saya terkena penyakit belekan atau mungkin yang lainnya,Diagnosis
Doc-244,kira kira kenapa ya dok,Cause
Doc-246,bagaimana mengobatinya,Management
Doc-246,penyakit apa itu dok,Diagnosis
Doc-247,diagnosanya nya kira kira apa,Diagnosis
Doc-247,makanan alami yang bisa dipakai buat mengobatinya itu apa ya dok,Management
Doc-248,kira kira kenapa ya dok dengan mata saya ini,Diagnosis
Doc-248,apa berbahaya juga,Complication
Doc-249,kira kira ini penyakit apa ya dok,Diagnosis
Doc-249,bagaimana cara mengatasi nya,Management
Doc-249,obat apa yang kira kira bisa menghilangkannya,Management
Doc-25,itu kenapa ya dokter,Diagnosis
Doc-250,bagaimana cara mengatasinya,Management
Doc-250,penyakit asam lambungkah,Diagnosis
Doc-251,gejala apakah itu,Diagnosis
Doc-251,bagaimana pengobatannya,Management
Doc-253,kira kira saya kenapa dok,Diagnosis
Doc-254,itu kenapa dok,Cause
Doc-255,itu kenapa y dok,Diagnosis
Doc-256,penyakit apakah yang saya derita itu,Diagnosis
Doc-256,adakah obat herbal atau obat tradisionalnya,Management
Doc-257,ini gejala apa dok,Diagnosis
Doc-258,apakah kasus saya ini bisa merupakan kasus usus,Diagnosis
Doc-258,apakah ciri ciri diatas bisa mengarah ke kanker usus dok,Manifestation
Doc-259,kenapa akhir akhir ini sudah hampir 3 bulan belakangan ini tubuh bagian kiri saya terasa nyeri dan pegal pegal,Cause
Doc-259,apakah gejala tersebut karena gangguan dari lambung saya dok,Cause
Doc-260,itu kenapa dok,Cause
Doc-261,apakah masih bisa disembuhkan dengan pengobatan tanpa operasi,Management
Doc-262,apakah perlu dioperasi,Management
Doc-262,ada obat wasir yang tanpa operasi,Management
Doc-263,apakah itu bisa disembuhkan,Prognosis
Doc-263,apakah itu berbahaya,Complication
Doc-263,bagaimana penanganannya,Management
Doc-263,bisakah menyembuhkannya tanpa operasi,Prognosis
Doc-264,apakah ada cara lain untuk penyembuhan penyakit wasir yang sudah stadium 4 tersebut selain di operasi,Management
Doc-265,apakah ambien yang sudah menonjol bisa sembuh tanpa operasi dengan cukup ramuan herbal,Management
Doc-266,ada obat wasir yang tanpa operasi,Management
Doc-268,apa itu wajar,Diagnosis
Doc-268,bolehkah saya menggunakan obat pencahar seperti microlak atau sejenisnya,Management
Doc-269,apakah perlu operasi untuk penyembuhanya,Management
Doc-269,apakah itu yang disebut hemoroid,Diagnosis
Doc-27,gimana cara pengobatan kanker darah setadium 1 biar bisa sembuh dan tak kambuh lagi,Management
Doc-27,apakah ada kemungkinan kanker ini bisa sembuh total,Prognosis
Doc-270,apakah wasir ini berbahaya bagi bayi saya jika tidak diobati dari masa hamil,Complication
Doc-270,adakah obat yang manjur yang bisa mengempeskan atau mengobati wasir tersebut,Management
Doc-270,apakah berbahaya jika saya menginginkan melahirkan normal jika saya mengalami wasir,Complication
Doc-273,mimisan ini bahaya kah bagi kesehatan saya,Complication
Doc-274,bagaimana cara mengatasi baunya agar hilang,Management
Doc-274,penyakit apa yah dok,Diagnosis
Doc-275,kira kira kena apa ya dok,Cause
Doc-275,bagaimana cara nyembuhinnya,Management
Doc-276,kira kira saya kenapa dok,Diagnosis
Doc-277,kira kira apa yang terjadi dengan saya,Diagnosis
Doc-279,apakah ini termasuk darah rendah dok,Diagnosis
Doc-279,bagaimana cara mengatasi nya dok,Management
Doc-280,apakah ini sinusitis ataukah hanya skedar alergi,Diagnosis
Doc-280,bagaimana cara menanganinya dok,Management
Doc-281,bagai mana cara pengobatannya,Management
Doc-281,dan penyakit apa itu dok,Diagnosis
Doc-282,yang ingin saya tanyakan sakit tenggorokan apa yang sedang saya alami,Diagnosis
Doc-282,bagaimana cara mengatasinya,Management
Doc-282,dan apa penyebabnya,Cause
Doc-282,sakit tenggorokan apa yang sedang saya alami,Diagnosis
Doc-282,apa penyebabnya,Cause
Doc-283,apakah semua yang saya rasakan memang gara gara maag atau ada penyakit lain,Diagnosis
Doc-283,pengobatan yang seperti apa yang harus saya tempuh agar cepat sembuh,Management
Doc-283,berapa lama setelah sembuh untuk saya memulai bekerja kembali,Prognosis
Doc-284,apakah gejala ini dok,Diagnosis
Doc-285,penyakit apa sebenarnya,Diagnosis
Doc-286,bagaimana pendapat dokter tentang sakit saya ini,Information
Doc-287,apakah itu benar,Diagnosis
Doc-287,apa saya memiliki ciri ciri berpenyakit jantung,Manifestation
Doc-288,apa yang terjadi,Diagnosis
Doc-288,apa yang bisa saya lakukan,Management
Doc-289,apa denyutan yang saya rasakan dibagian pusar itu merupakan ciri ciri asam lambung yang akut,Manifestation
Doc-290,apakah keluhan keluhan penyakit yang saya alami memang masalah kejiwaan,Diagnosis
Doc-290,dokter apa yang sebaiknya saya temui,PersonORG
Doc-291,kenapa sesak itu tiap hari saya rasakan ya dok,Cause
Doc-291,apa benar anemia tahu masuk ke gejala penyakit lainnya ?,Diagnosis
Doc-293,apakah memang betul gejala sakit jantung dan maag sama,Manifestation
Doc-297,apa saja asupan gizi yang lengkap,Management
Doc-297,apakah saya harus minum suplemen obat obatan atau yang bisa buat lebih berisi,Management
Doc-297,apa dampak dari tubuh kurus,Complication
Doc-298,kenapa ya dok tubuh saya ini tidak bisa berisi padahal saya sudah makan banyak,Cause
Doc-299,apakah ada gangguan pada sistem penyerapan dan pencernaan saya,Diagnosis
Doc-299,suplemen obat atau asupan hormon apa yang cocok dengan saya,Management
Doc-3,itu namanya amnesia apa dokter,Diagnosis
Doc-3,bisa disembuhin tidak,Prognosis
Doc-300,ibu saya kenapa,Diagnosis
Doc-301,kenapa ya dok kok saya merasa badan saya semakin hari semakin kurus saja,Cause
Doc-301,apa yang terjadi terhadap tubuh saya,Diagnosis
Doc-305,itu kenapa ya dok,Cause
Doc-305,saya kenapa ya dok,Diagnosis
Doc-305,apakah saya hamil,Diagnosis
Doc-306,apa saya positif terkena kanker serviks,Diagnosis
Doc-307,apakah ada tanda penyakit dari yang saya alami ini dok,Diagnosis
Doc-308,kenapa dengan menstruasi saya,Cause
Doc-309,kenapa ya dok,Diagnosis
Doc-309,apa pengaruh dari kb tersebut,Complication
Doc-310,saya sebenarnya kenapa dok,Diagnosis
Doc-311,normal apa tidak y,Diagnosis
Doc-312,apakah betul dok itu keguguran,Diagnosis
Doc-313,apa penyebabnya,Cause
Doc-313,apakah ada sebabnya dari makanan,Cause
Doc-318,apakah tidak bisa sembuh,Prognosis
Doc-318,apa yang saya lakukan dok,Management
Doc-318,apa jenis penyakit saya ini,Diagnosis
Doc-319,itu sakit apaby dok,Diagnosis
Doc-319,obatnya apa,Management
Doc-320,apa tidak bisa cair dan masuk kedalam tubuh sehingga keluar melalui kotoran bukan melalui mulut,Anatomy
Doc-320,sebenarnya lendir itu diproduksi dari mana,Anatomy
Doc-320,apakah ada terapi untuk menghilangkannya,Management
